epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,3563.59,1.17408,0.58122,0.00199,0.96941,0.97367,0.99125,0.75325,0.92133,0.49864,0.00198,0.00160616,0.00160616,0.00160616
125,3649.24,1.12208,0.54208,0.0019,0.9537,0.96428,0.98979,0.74842,0.91799,0.50229,0.00201,0.00160518,0.00160518,0.00160518
126,3696.97,0.99884,0.57492,0.00176,0.9527,0.94812,0.98995,0.74436,0.92459,0.5086,0.00206,0.00160419,0.00160419,0.00160419
127,3805.62,1.07096,0.58014,0.00198,0.95959,0.92431,0.98384,0.72984,0.92854,0.52304,0.002,0.00160319,0.00160319,0.00160319
128,3841.01,1.11485,0.61269,0.00185,0.96878,0.91912,0.98378,0.73674,0.88678,0.50617,0.00186,0.00160219,0.00160219,0.00160219
129,3875.96,1.14047,0.62872,0.0019,0.95386,0.9293,0.98312,0.73418,0.94341,0.50371,0.00201,0.00160118,0.00160118,0.00160118
130,3910.54,1.07827,0.51652,0.00191,0.95773,0.95267,0.98486,0.73869,0.92938,0.48519,0.00197,0.00160016,0.00160016,0.00160016
131,3944.96,0.99738,0.52996,0.00187,0.94886,0.94092,0.98922,0.76169,0.87789,0.46356,0.00184,0.00159913,0.00159913,0.00159913
132,3979.66,1.07448,0.59369,0.00187,0.94629,0.96822,0.98888,0.7528,0.92097,0.46038,0.00197,0.0015981,0.0015981,0.0015981
133,4014.72,1.11716,0.53572,0.00187,0.96574,0.96429,0.99146,0.75439,0.91702,0.46469,0.00195,0.00159706,0.00159706,0.00159706
134,4054.46,1.14961,0.62742,0.00208,0.97925,0.95244,0.99062,0.75058,0.93288,0.49967,0.00198,0.00159601,0.00159601,0.00159601
135,4117.22,1.21737,0.58278,0.00208,0.98414,0.93048,0.98861,0.76358,0.88394,0.51925,0.00185,0.00159496,0.00159496,0.00159496
136,4173.16,1.2954,0.59716,0.00214,0.95962,0.96248,0.98847,0.76204,0.91787,0.48163,0.00191,0.00159389,0.00159389,0.00159389
137,4256.25,1.13304,0.51796,0.00195,0.91958,0.95481,0.98385,0.72428,0.97655,0.50742,0.00212,0.00159282,0.00159282,0.00159282
138,4345.43,1.13489,0.54799,0.00191,0.91431,0.95485,0.98482,0.71193,1.00899,0.5154,0.00226,0.00159174,0.00159174,0.00159174
139,4432.52,1.27769,0.59563,0.00212,0.94895,0.94452,0.98661,0.70315,1.06774,0.50454,0.00239,0.00159066,0.00159066,0.00159066
140,4561.45,1.0708,0.56555,0.00187,0.95867,0.96037,0.98799,0.69474,1.10802,0.51072,0.00251,0.00158957,0.00158957,0.00158957
141,4598.02,1.19624,0.57256,0.00208,0.92696,0.95157,0.98558,0.71575,1.01892,0.51302,0.00219,0.00158847,0.00158847,0.00158847
142,4631.94,1.08277,0.54798,0.00203,0.96016,0.93191,0.98768,0.74709,0.92279,0.47239,0.00188,0.00158736,0.00158736,0.00158736
143,4666.12,1.13958,0.49747,0.00188,0.933,0.96303,0.98738,0.7569,0.90061,0.47557,0.00188,0.00158624,0.00158624,0.00158624
144,4704.04,1.01921,0.50396,0.0018,0.91785,0.96549,0.98663,0.76532,0.87879,0.48967,0.00185,0.00158512,0.00158512,0.00158512
145,4743.91,1.10075,0.51499,0.00171,0.90563,0.99439,0.98893,0.75474,0.92618,0.4852,0.00194,0.00158399,0.00158399,0.00158399
146,4778,1.07572,0.52583,0.00173,0.95856,0.95823,0.98989,0.77198,0.8777,0.44649,0.00185,0.00158286,0.00158286,0.00158286
147,4812.49,1.02924,0.54326,0.00178,0.96318,0.93439,0.98817,0.75801,0.92761,0.46751,0.00198,0.00158171,0.00158171,0.00158171
148,4846.91,1.09918,0.48727,0.002,0.97477,0.93324,0.98932,0.76705,0.88245,0.44992,0.00187,0.00158056,0.00158056,0.00158056
149,4881.53,1.04904,0.52293,0.00175,0.95597,0.96356,0.98522,0.77099,0.85606,0.45103,0.00184,0.0015794,0.0015794,0.0015794
150,4915.65,1.06507,0.50297,0.00207,0.95079,0.95103,0.99045,0.76393,0.88405,0.47461,0.00194,0.00157824,0.00157824,0.00157824
151,4950.73,1.09237,0.55697,0.00186,0.93296,0.94959,0.98731,0.74437,0.90521,0.50085,0.00196,0.00157706,0.00157706,0.00157706
152,4986.47,1.03046,0.49758,0.00168,0.95093,0.96809,0.98952,0.75029,0.89386,0.51437,0.00188,0.00157588,0.00157588,0.00157588
153,5021.34,1.04376,0.48131,0.00182,0.93683,0.97364,0.99068,0.76189,0.81577,0.46487,0.00167,0.00157469,0.00157469,0.00157469
154,5056.27,1.04416,0.50566,0.00173,0.91978,0.96067,0.98908,0.74162,0.92836,0.48897,0.00186,0.0015735,0.0015735,0.0015735
155,5091.36,1.19769,0.61949,0.00209,0.94192,0.98003,0.99089,0.74553,0.93873,0.45379,0.00192,0.0015723,0.0015723,0.0015723
156,5126.24,1.06121,0.48938,0.00173,0.97988,0.93619,0.99057,0.76311,0.85084,0.41143,0.0018,0.00157109,0.00157109,0.00157109
157,5160.73,1.12612,0.51284,0.00185,0.94102,0.96844,0.99094,0.73693,0.9557,0.44332,0.00204,0.00156987,0.00156987,0.00156987
158,5195.38,1.13934,0.53314,0.00192,0.977,0.93237,0.99024,0.73517,0.96209,0.45054,0.00209,0.00156865,0.00156865,0.00156865
159,5230.22,1.08038,0.48239,0.00187,0.95352,0.96244,0.99089,0.73897,0.98048,0.46123,0.00214,0.00156742,0.00156742,0.00156742
160,5302.8,1.09641,0.47509,0.00192,0.979,0.94742,0.9905,0.72565,1.01765,0.47169,0.0022,0.00156618,0.00156618,0.00156618
161,5362.84,1.15986,0.53463,0.00189,0.94236,0.98091,0.98822,0.74918,0.94708,0.47869,0.00203,0.00156493,0.00156493,0.00156493
162,5481.82,1.05276,0.45872,0.00183,0.94902,0.97141,0.98969,0.76101,0.90922,0.45345,0.00196,0.00156368,0.00156368,0.00156368
163,5534.03,1.1964,0.51254,0.00193,0.94555,0.98876,0.98941,0.7612,0.90142,0.42873,0.00197,0.00156242,0.00156242,0.00156242
164,50.391,1.02282,0.42407,0.00173,0.92533,0.96351,0.98882,0.74928,0.91793,0.60949,0.00194,0.00156115,0.00156115,0.00156115
165,102.55,1.10905,0.52253,0.00183,0.97762,0.91683,0.98753,0.7593,0.89158,0.57433,0.0019,0.00155988,0.00155988,0.00155988
166,178.617,1.10524,0.50092,0.00193,0.95963,0.92239,0.98794,0.77684,0.81665,0.45067,0.00176,0.0015586,0.0015586,0.0015586
167,284.263,1.05878,0.45547,0.00166,0.96262,0.94383,0.9877,0.77629,0.83171,0.43293,0.0018,0.00155731,0.00155731,0.00155731
168,422.135,1.06741,0.50831,0.00167,0.92281,0.9624,0.98342,0.76228,0.85923,0.45412,0.00187,0.00155602,0.00155602,0.00155602
169,519.847,1.04786,0.46126,0.00188,0.94036,0.92486,0.9816,0.74195,0.91452,0.46472,0.00199,0.00155471,0.00155471,0.00155471
170,662.766,1.02082,0.50999,0.00177,0.94394,0.93614,0.98638,0.74582,0.94845,0.46213,0.00207,0.00155341,0.00155341,0.00155341
171,790.333,1.06276,0.45997,0.00169,0.95009,0.9485,0.98562,0.75773,0.86713,0.44288,0.0019,0.00155209,0.00155209,0.00155209
172,871.016,0.98501,0.46977,0.00168,0.96204,0.93543,0.98875,0.76278,0.89884,0.39626,0.00197,0.00155077,0.00155077,0.00155077
173,906.722,1.02538,0.44192,0.00153,0.94001,0.97121,0.98955,0.76687,0.86392,0.38574,0.00186,0.00154944,0.00154944,0.00154944
174,1019.06,1.01584,0.45823,0.00167,0.96571,0.91885,0.98854,0.77546,0.79601,0.37998,0.00166,0.0015481,0.0015481,0.0015481
175,1068.98,1.01976,0.42605,0.00185,0.96717,0.93118,0.98882,0.76303,0.83861,0.39763,0.00178,0.00154675,0.00154675,0.00154675
176,1102.58,0.9275,0.38984,0.00158,0.96301,0.96035,0.99048,0.75548,0.88715,0.41039,0.00191,0.0015454,0.0015454,0.0015454
177,1134.96,1.07629,0.49463,0.00176,0.95725,0.96889,0.98927,0.7478,0.91565,0.42136,0.00196,0.00154405,0.00154405,0.00154405
178,1167.55,0.9492,0.41338,0.00177,0.9469,0.96608,0.98944,0.7532,0.92039,0.37435,0.00203,0.00154268,0.00154268,0.00154268
179,1199.13,0.95505,0.43748,0.0016,0.96793,0.94932,0.99073,0.74839,0.96002,0.37448,0.00214,0.00154131,0.00154131,0.00154131
180,1231.27,1.0083,0.43081,0.00174,0.94934,0.96405,0.99041,0.7613,0.93123,0.36773,0.00205,0.00153993,0.00153993,0.00153993
181,1264.83,1.01099,0.50686,0.00179,0.98003,0.98267,0.99234,0.7912,0.82862,0.3462,0.00176,0.00153854,0.00153854,0.00153854
